,Start,End,Speaker,Text
0,0:00:00,0:00:13,SPEAKER 4," The guy's like, how are you? And she's like, hi, uh, I have come in me and she's the guy's like, excuse me?  She's like, yeah, I'm great. I'm and she's like, no, I have come in me and the guy's like, uh "
1,0:00:14,0:00:17,SPEAKER 3," Okay, who did that? I don't like sick "
2,0:00:18,0:00:23,SPEAKER 4," That's right. That that was the end. I don't like the sick finish that sense. Yeah, okay, it's just the inflection was weird "
3,0:00:23,0:00:28,SPEAKER 3, I feel like I don't like sick you made you hit it like bad. I don't like see that's me being slime 
4,0:00:29,0:00:31,SPEAKER 1, I like 
5,0:00:31,0:00:36,SPEAKER 4," Hold on hold on. Oh, I get it. This is what it's like you like slimes impression "
6,0:00:37,0:00:43,SPEAKER 2, You're gonna love that was good night. Can I get more of that real quick? I I hey slime get out get down here right now 
7,0:00:43,0:01:06,SPEAKER 4," I don't like all right, man. Oh, I like you sounded like Charlie day actually  I love play piano. That's a bad Charlie day. Yeah, welcome back to the yard. Uh, post dinosaur era. Who are you? Yeah, uh  What the fuck did you do with the dinosaur? I'm your boy. Oh, well, here's the thing. It was floating up there  So I killed him "
8,0:01:06,0:01:13,SPEAKER 3," What? Surely you have a funny joke ready. Well, look for your for your I mean like you spent the whole week off "
9,0:01:13,0:01:24,SPEAKER 4," You have like a good one line or for us. No, I mainly just hurt because I just like I checked the episode out  I didn't watch the whole thing  But I was like watching the first 30 minutes as go down to the comments and the first one I read is like best episode by far "
10,0:01:24,0:01:37,SPEAKER 3," But you don't even finish the whole pod. I hurt too much. What do you?  Okay, I hurt too much dude. How can you expect people to watch in 90 minutes if you can't even sit through 30 the guy who literally watches it "
11,0:01:37,0:01:44,SPEAKER 2," On repeat to fall asleep for the analytics. You couldn't listen if it wasn't you do that. Yeah, he told us about that "
12,0:01:44,0:01:48,SPEAKER 4," No, I joked about that. That was a joke. I have done that like one. Oh, yeah, dude "
13,0:01:48,0:01:52,SPEAKER 3," What's funny is he'll do it with Daniel there a did ski but he won't do it with us. Yeah, that's true "
14,0:01:52,0:01:59,SPEAKER 1," You don't care Daniel has something special that we don't yeah, he's good at rest. Hey, I was a confession. You confessed "
