,Start,End,Speaker,Text
0,0:00:00,0:00:06,SPEAKER 5," Don't say wow, okay. I want to say it. I do kind of want to say it though. Oh "
1,0:00:07,0:00:09,SPEAKER 1, Oh my 
2,0:00:16,0:00:20,SPEAKER 2, Can I ask you a question offer it? Do you think he's going bald? 
3,0:00:21,0:00:28,SPEAKER 3," Be honest like there's potential. Yeah, I could see you brushing it forward "
4,0:00:30,0:00:36,SPEAKER 1, Potentially this lovely head of hair. It'll wax just to keep it over. We're actually two for two really you're pretty good 
5,0:00:36,0:00:42,SPEAKER 2," Oh, I'm thick you got to think how long but the moment one hair falls in the shower  It's like fins to ride "
6,0:00:42,0:00:50,SPEAKER 4, London what do you mean has London heritage not not London so so he's able to see we're just skipping over these lying 
7,0:00:50,0:00:59,SPEAKER 1," What what it's not London where's I'm I'm a filthy Scotsman. Oh no way. Yeah, that's gross, right? Scots are known for going bold "
8,0:01:00,0:01:09,SPEAKER 5, The first bald man was Scottish. Look welcome back. Welcome to the yard to the yard podcast 
9,0:01:10,0:01:14,SPEAKER 3, Darring good for an ace of butterfield. What's up guys? How you doing? Thank you. I'm very well 
10,0:01:14,0:01:58,SPEAKER 5," I actually have I don't know if you remember this, but the first time we met was a beyond the summit event and  Zipper to off camera just now is a big fantasy education and she was really excited that you were at the event  I was like, oh, well, I'll I'll like get a conversation started in some sort and the only conversation we had at the event  Was I talked to you about the days and we we went into like I talked about your asshole  Maybe within the first three seconds of knowing you and you were very down to have that conversation  The problem was that she wasn't she didn't really know how to engage in a conversation about your asshole  And so she didn't really get to talk to you at all. So you know, that was the first time we met  I was just wondering if you remember that I  Vagely, yeah, I was just like hey, he doesn't surprise me that the day is here. You're like, oh, yeah "
11,0:01:59,0:02:08,SPEAKER 4, It was this extremely like-handed conversation because we had I was actually so charmed because Aisa remembered me because we worked on a like we I was doing a 
12,0:02:12,0:02:14,SPEAKER 1, He's still in here 
13,0:02:14,0:02:23,SPEAKER 5, He was like he's like that guy's got a new thing because you had to squint his eyes when you walk in the building  We were in a light and a weird way. I was producing a comedy piece 
14,0:02:23,0:02:26,SPEAKER 1," He saw you today, and he was like that's exactly how I pictured it "
15,0:02:27,0:03:00,SPEAKER 4," We're gonna wait. I was pretty too common piece and we had this idea. I was like oh, it's Butterfield here because it came for the event  to hang out and  With me and Dan were like hey  I wonder if he'd like be down to get in and so we had like this shot of him and it's really funny  He killed the line. You did great and then he remembered that and I was so charmed  Cool as man. I'm very like can I be honest in this being on a circle. Yeah, I'm gonna nervous  Wow, you know when you came in I didn't say hi because I was like how do I fucking how do I deal you guys all  Rock you nervous. I don't know because you know what I don't know wait "
16,0:03:00,0:03:32,SPEAKER 2," I can explain it because I was also nervous because what I did because you were fucking late because you make guys like this  Wait, no, I felt good about that. There was big time and they were both late. Be fair  What I did is I looked up your Instagram and you have like like almost six million followers in it and like millions of likes  And I was like I was a big deal, but then I went to his Twitter and I was like, oh, dude. This is just like a smasher  Retweeted the panic controller and he's like looks good  And I was like to be just a nerd that happens to be a successful actor "
17,0:03:33,0:03:43,SPEAKER 4," Yeah, we talk about it a lot where it's like you'll say something like because you you are you're on liquid  Technically, right? And that's cool. You like announced it and you're like you're in the game "
18,0:03:43,0:03:47,SPEAKER 3, All the replies have no idea what I'm talking about whenever I talk about 
