,Start,End,Speaker,Text
0,0:00:00,0:00:08,SPEAKER 2," Hello, and welcome to Dear Hank and John! "
1,0:00:08,0:00:21,SPEAKER 1," Well, as I like to call it, oh boy.  So bad already.  What, where did the welcome from?  Well?  Or as I like to think of it, dear Catherine and Hank. "
2,0:00:21,0:00:40,SPEAKER 2," It's a comedy podcast where two brothers and occasionally,  instead, two married people, answer your questions,  give you degrees advice and begin while the week's news from both Mars  and AFC women today were joined by my wife, Catherine Green,  because my brother, John Green, is still feeling real bad.  My wife.  My wife. "
3,0:00:40,0:00:54,SPEAKER 1," So, yeah, hey, it's me, Catherine Green.  I'm back again to step in when John Green comes up short.  Is it through no fault of his own?  No, yeah. "
4,0:00:54,0:00:56,SPEAKER 2, Is it this evening or third time? 
5,0:00:56,0:00:57,SPEAKER 1, I don't know. 
6,0:00:57,0:00:58,SPEAKER 2, I think it is. 
7,0:00:58,0:01:03,SPEAKER 1, I don't have memories of the time before I was now. 
8,0:01:03,0:01:06,SPEAKER 2," Yeah, you have a child. "
9,0:01:06,0:01:11,SPEAKER 1, Like I'm so in the moment and also in the future.  Yeah. 
10,0:01:11,0:01:13,SPEAKER 2, The past is nothing to you. 
11,0:01:13,0:01:17,SPEAKER 1, It is nothing.  I remember nothing. 
12,0:01:17,0:01:21,SPEAKER 2, Just whatever we took photos of.  Yeah.  And saved photos of. 
13,0:01:21,0:01:23,SPEAKER 1," Thank goodness.  Oh, yeah. "
14,0:01:23,0:01:26,SPEAKER 2," It's been, I've been collecting all of the pictures. "
15,0:01:26,0:01:28,SPEAKER 1," Thanks, Ben, on an Epic Quest. "
16,0:01:28,0:01:48,SPEAKER 2, Our life.  They're on hard drives.  They're on phones.  They're on different people's computers.  They're on old computers and new computers and Picasso  and Yahoo images.  Flicker is what I mean.  And they're on Google Photos  and they're on iPhoto  and they're on Dropbox.  They're everywhere.  And I'm getting all in one place.  And it has been weeks. 
17,0:01:48,0:01:56,SPEAKER 1," Yeah, weeks.  I mean, it's been like every spare moment, too.  Yeah.  There are not many of, but like. "
18,0:01:56,0:01:59,SPEAKER 2," Yeah.  Catherine's like, what are you doing?  And I'm like, just a button. "
19,0:01:59,0:02:04,SPEAKER 1, Another directory.  Okay.  Who knew it was going to be this difficult? 
20,0:02:04,0:02:07,SPEAKER 2," I mean, I took a lot of pictures in our life. "
21,0:02:07,0:02:13,SPEAKER 1, Yeah.  It's been over a decade since the digital camera thing started.  Yeah. 
22,0:02:13,0:02:37,SPEAKER 2," And.  And it's very clear in my photo archives when I got my first digital camera.  It was, it's very obviously 2002, 2003.  Yeah.  And finally, it's like, oh, it went from like having 100 pictures a year to having like 10,000.  Not 10,000.  But a lot.  And over 30,000 pictures I have uploaded.  And now, and when I finish, it's your job to decide which ones we keep and get rid of. "
23,0:02:37,0:02:50,SPEAKER 1," I'm so looking forward to deleting.  Um, I like getting rid of things.  It is one of my, the chief joys of my life.  Yeah.  Um, this is like my Christmas present. "
24,0:02:50,0:02:58,SPEAKER 2," Yeah.  Here you go.  I got you these 50,000 photographs.  Delete whichever ones you want.  The life-changing magic of tidying up my Google photos. "
25,0:02:58,0:03:04,SPEAKER 1, Try it.  And true.  This is a good present for a Catherine.  Yeah. 
