,Start,End,Speaker,Text
0,0:00:00,0:00:07,SPEAKER 2, Hello and welcome to Dear Hank and John. 
1,0:00:07,0:00:09,SPEAKER 1, Of course I've heard of the good Dear John and Hank. 
2,0:00:09,0:00:18,SPEAKER 2," It's a comedy podcast where me and my brother John, we answer your questions, give you  to be a advice and bring you all the week's news from both Mars and AFC Wimbledon, hey John "
3,0:00:18,0:01:03,SPEAKER 1, how you doing?  Hank we're both very tired.  I know that we're often tired when we record the pod but like right now I've been tired  for a few months and turtles all the way down is finally it's like I'm in the last  hours of it belonging to me you know like in like I don't know like 200 hours or so or  maybe 150 hours it will never belong to me ever again and it's belong to me for like  six years so I have chosen to spend these last several hundred hours with turtles all  the way down a wake and there are times when I have regretted that decision but I also  can't seem to make any other decision.  How are you? 
4,0:01:03,0:01:13,SPEAKER 2, I'm good you know I feel bad that I haven't read your book because you sent it to me about  a week ago and I still haven't read it but I do hope that you understand that I can't  do anything. 
5,0:01:13,0:01:20,SPEAKER 1, Yeah the candle is burning at both ends and it will not last the night but. 
6,0:01:20,0:01:27,SPEAKER 2, Could you have a candle and you split off the middle part into like a third end and light  that one too? 
7,0:01:27,0:01:35,SPEAKER 1, I believe that would actually give you four ends and if so Hank would immediately light  all four of them because that's the kind of person he is. 
8,0:01:35,0:01:48,SPEAKER 2, No I've actually made my candle into like the weapon from the movie crawl and it spins  really fast so it's extra oxygenated so all five ends can burn really fast. 
9,0:01:48,0:01:59,SPEAKER 1, Is that a movie I'm just I'm never I'm not familiar with the movie but is it a movie  in which the krill that blue whales eat to turn evil?  No.  That's disappointing. 
10,0:01:59,0:02:15,SPEAKER 2, No in fact I couldn't I can't even tell you very anything about the movie crawl I just  remember I watched it when I was a child on television and I was so in love it's just  it's I was it was the best thing it was and I should probably watch it again so I know 
11,0:02:15,0:02:34,SPEAKER 1, how bad it is but I really liked it.  Well no hurry on on reading my new book but quicker reminder to our listeners they can  read it on October 10th and get assigned copy to by going to probably signed turtles.com.  The number one website on the internet right now it's blowing up one of one of the things 
12,0:02:34,0:02:42,SPEAKER 2," I did this weekend that I actually quite enjoyed was was hankler fishing almost 5,000 pieces  of paper. "
13,0:02:42,0:02:43,SPEAKER 1, 3000. 
14,0:02:43,0:02:58,SPEAKER 2, Oh almost 3000 oh jeez god wow there's you do what you do in this a lot I did not I did  not finish I've not done yet but I'm like two thirds of the way done and it's not an insignificant 
15,0:02:58,0:03:04,SPEAKER 1, task John.  No and that's only I will remind you one and a half percent of the total signatures. 
16,0:03:04,0:03:07,SPEAKER 2, So I feel I feel bad for only doing one and a half percent now. 
17,0:03:07,0:03:11,SPEAKER 1, Well I also feel bad I wanted to send you a second box but you said no. 
18,0:03:11,0:03:35,SPEAKER 2, I know I feel bad but that doesn't mean that here's the thing that you gotta know just  because you feel bad doesn't mean you have to do something like I can I can I can feel  guilt and be like I it's really too bad that I'm not doing this thing and I feel bad  that I'm not doing it but also I'm not going to because I feel better about not having  to do that thing. 
19,0:03:35,0:04:05,SPEAKER 1, Alright hank that's actually a pretty good transition to our first question.  We're skipping the short poem because I read I I recited half of that at the St. Vincent  Millais poem so we're good on the short poem front we're moving on.  Okay.  This question comes from Matt and it involves you know something that's that's difficult  that you might or might not do.  Dear John and Hank what is the largest terrestrial animal you would feel comfortable fighting  in hand-to-hand combat like lies what is the smallest terrestrial animal you think would  best you?  Art Varks and Armadillos Matt. 
20,0:04:05,0:04:09,SPEAKER 2, John I think that there are times when my cat could take me. 
21,0:04:09,0:04:36,SPEAKER 1, Yeah.  I mean I actually I was thinking that as well Hank like there's a there's a coyote in  my backyard.  I mean it's not really a backyard there's a coyote in the forest behind my house and I see  it sometimes and it probably weighs like 30 pounds and I see it and I think we both know  that if you're hungry I'm dead.  You could totally take a coyote I mean I think I know I couldn't I think like I'd have 
22,0:04:36,0:04:51,SPEAKER 2, a hard time like like fighting and winning against a porcupine right because like what  am I going to do like where am I going to punch you how am I going to strangle a porcupine  like I might be able to get away without any trouble but I don't feel like I'm going 
23,0:04:51,0:05:02,SPEAKER 1, to win.  Similarly I don't think I could kill a skunk.  I think the smell would overpower me I would use consciousness and the skunk would slowly  eat me over the course of three days. 
24,0:05:02,0:05:15,SPEAKER 2, So John the definitely the largest terrestrial animal I could kill yeah it's probably a tortoise  like a Galapagos tortoise I would just hold it and preventing it from preventing it from  getting food. 
25,0:05:15,0:05:17,SPEAKER 1, Yeah.  I don't know. 
26,0:05:17,0:05:21,SPEAKER 2, You could hold it they weigh like 400 pounds but like there's a number of sizes it would 
27,0:05:21,0:05:35,SPEAKER 1, maybe a juvenile I feel like you and a Galapagos tortoise you'd probably win but it would  take like 14 days of hand-to-hand combat before winner was finally declared you know what  I mean. 
28,0:05:35,0:06:27,SPEAKER 2, John I'm in an armadillo recently yeah a three-banded armadillo they can fully enroll meaning  they can become 100% ball and they just roll down a hill.  One of the few animals that can do that I think maybe the only vertebrate and what I  found out is that in addition to being able to fully enroll this the three-browned armadillo  will close almost all the way and leave a little gap intentionally so that a predator will  put its nose into that little gap to try and get it and then it closes all the way and it  totally will like like like basically bite but with its armor plates the nose of the of the  predator which is and this happened to my friend Jesse who runs animal wonders and takes  care of all these exotic animals and her hand she survived her finger was stuck inside 
29,0:06:27,0:06:39,SPEAKER 1, the armadillo for like a half an hour but she lived she did survive so we could take  an armadillo or at least Jesse could yeah I mean do I have any tools I guess I don't 
30,0:06:39,0:06:46,SPEAKER 2, because then no weapons no punching no or punching but no like baseball bats or anything 
31,0:06:46,0:06:52,SPEAKER 1, it's just what can could you take down a coyote with your arms and I don't think I could 
32,0:06:52,0:07:18,SPEAKER 2, all right John I got another question it's from Katrina who asks dear Hank and John my  suburb job consists of scanning and destroying old files at a law firm during this process I have  to remove all of the staples from documents before I feed them through a scanner I have come to  accumulate many mugs full of used staples the summer is only halfway done so more will be added  to the collection it feels wrong to just throw away all these staples what would you suggest I do 
33,0:07:18,0:07:36,SPEAKER 1, with them sometimes paper cups and fasteners Katrina I mean you definitely have to melt them  down into like bullets or something you've got to melt them down into something awesome well what  is the staple made of well it's actually much more of a Hank question than it is a John question 
34,0:07:36,0:07:48,SPEAKER 2, well John it just so happens that inside of my brain without googling this at all modern staples  for paper staples are made from zinc plated steel wires glued together and bent to form a long 
35,0:07:48,0:08:16,SPEAKER 1, strip of staples so there's that sounds like something that you just already knew and I  not at all like you're currently on the Wikipedia page for staple and then in parentheses fast  because there's more than one kind of staple yeah so staples the store yeah there's presumably  some other kind of staple where's the disambigulation page for staple there are surgical staples there's 
36,0:08:16,0:08:27,SPEAKER 2, the staple right the medieval right of certain German ports to require merchant vessels to unload and  display their goods for sale for a certain period often three days there's the statue of the staple 
37,0:08:28,0:09:27,SPEAKER 1, sure there's there's Vince staples the American rapper born in 1993 yeah there's the famous American politician  king staples who was a republican member of the Wisconsin State Assembly that seems like a very  low bar to have to jump over to get a Wikipedia page and there is of course the Christian post hardcore  band staple because apparently there are Christian post hardcore bands I mean that's actually great  that's great that's wonderful that there is a Christian post hardcore band I wonder if there's  a Christian pre hardcore band oh and of course there's staples Canada which is like staples but it's  in Canada oh oh I thought that was the name of a town but maybe staples just bought oh god that's  a great idea Hank speaking of which we have we finally gotten to a point in our lives where we could  buy winner South Dakota the town that is exactly equidistant between our two homes you know probably 
38,0:09:27,0:09:38,SPEAKER 2, not it's a property value is surprisingly expensive we got it we got to buy that McDonald's we got  to buy the holiday in express and sweets winner and then I'll do they have a holiday in express 
39,0:09:38,0:09:52,SPEAKER 1, they do have a holiday in express wow all right yeah we definitely can't buy that I'm not  trying to buy holiday in expresses okay like that that that is a thriving town if it has a  holiday in express let's get back to this question of the staples yeah so you're gonna get some 
40,0:09:52,0:10:08,SPEAKER 2, zinc and you're gonna get some steel and and zinc is mostly what pennies are made out of so you  could send that off to the penny people and they could make pennies out of it oh yeah that's  a great deal probably probably you get like a third of a penny out of those staples I think that 
41,0:10:08,0:10:27,SPEAKER 1, what you should do is you should freak out the attorneys that you work with I think you should start  spelling stuff out in staples at night when they're at home on their desk and then in the morning  they'll be like why does it say put fifty dollars in the scanner or I will tell your secrets in staples 
42,0:10:27,0:10:35,SPEAKER 2, on my desk right good good good is there is there some kind of like fashion options here that's a 
43,0:10:35,0:10:47,SPEAKER 1, great idea you got to make a chain mail sweater yeah that's it you make the chain mail sweater out  of staples no one will mess with you if you have a chain mail sweater also it will be impossible to 
44,0:10:47,0:10:52,SPEAKER 2, take off because the staples will not loop completely and they will just bind to whatever you're 
45,0:10:52,0:10:58,SPEAKER 1, wearing underneath so further more if you had a chain mail sweater then you could take a coyote 
