,Start,End,Speaker,Text
0,0:00:00,0:00:18,SPEAKER 1," Did you just pee on the graph?  You peed in front of the cat!  You fell on the graph!  Hey, violent. "
1,0:00:18,0:00:19,SPEAKER 3, Are we rolling? 
2,0:00:19,0:00:20,SPEAKER 4, You're breathing. 
3,0:00:20,0:00:22,SPEAKER 1, You're breathing so heavy. 
4,0:00:22,0:00:27,SPEAKER 3, Let me get a...  Dorito's instant replay on that burrito. 
5,0:00:27,0:00:31,SPEAKER 4, You're just wheezing.  You're wheezing through it.  You spilled it all over your pants. 
6,0:00:31,0:00:32,SPEAKER 3," You're on some coral right now, bro. "
7,0:00:32,0:00:34,SPEAKER 1, You used to be able to bench 225. 
8,0:00:34,0:00:35,SPEAKER 4, God. 
9,0:00:35,0:00:36,SPEAKER 3, I think you're still good. 
10,0:00:36,0:00:38,SPEAKER 1, You are over your pants. 
11,0:00:38,0:00:40,SPEAKER 4, You are struggling to breathe. 
12,0:00:40,0:00:45,SPEAKER 3," All over your pants now.  Those look nice.  That's disgusting.  No, you don't rub it in with the napkin. "
13,0:00:45,0:00:47,SPEAKER 4, Now it's the same.  Are you gonna finish it all like a good little boy? 
14,0:00:47,0:00:48,SPEAKER 1, You're close. 
15,0:00:48,0:00:49,SPEAKER 4, Are you gonna finish it all? 
16,0:00:49,0:00:50,SPEAKER 3, I have a tide pen. 
17,0:00:50,0:00:52,SPEAKER 4, You can be a good little boy about it. 
18,0:00:52,0:00:54,SPEAKER 3," Oh, we don't even have our fire plays.  Are you gonna take it all? "
19,0:00:54,0:00:57,SPEAKER 4, I'm gonna take it all.  That's yummy. 
20,0:00:57,0:00:58,SPEAKER 1, We can... 
21,0:00:58,0:00:59,SPEAKER 4, Is it chicken? 
22,0:00:59,0:01:04,SPEAKER 2," Welcome back to yard, everybody. "
23,0:01:04,0:01:05,SPEAKER 1, This is actually... 
24,0:01:05,0:01:16,SPEAKER 3," I mean this.  I'm not kidding.  This is your best fit.  Well, island hat with the fish feet.  But then a relatively normal guy in between.  You're like a weird sandwich. "
25,0:01:16,0:01:19,SPEAKER 1," Hey, can I hit that?  No. "
26,0:01:19,0:01:20,SPEAKER 2, Why? 
27,0:01:20,0:01:21,SPEAKER 1, I've eaten today. 
28,0:01:21,0:01:22,SPEAKER 4, I didn't eat. 
29,0:01:22,0:01:23,SPEAKER 2, I barely ate. 
30,0:01:23,0:01:25,SPEAKER 4, You'd take Adderall.  I didn't take Adderall today. 
31,0:01:25,0:01:29,SPEAKER 3," Well, I came home and opened up a pizza box that had a napkin in it and said... "
32,0:01:29,0:01:30,SPEAKER 1, Boo! 
33,0:01:30,0:01:34,SPEAKER 3, He said pizza!  And then he just started eating it.  And he was a live here anymore. 
34,0:01:34,0:01:35,SPEAKER 2, In a Disney movie? 
35,0:01:35,0:01:36,SPEAKER 1, Yeah. 
36,0:01:36,0:01:38,SPEAKER 3, And he didn't live here anymore.  So he was just like... 
37,0:01:38,0:01:46,SPEAKER 4, I did check the receipt.  That was my detective work.  It was ordered last night.  And it was Nick because it said his name on it. 
38,0:01:46,0:01:47,SPEAKER 3, And it was delicious. 
39,0:01:47,0:01:49,SPEAKER 4, Like he's not gonna eat the rest of this. 
